   NN30nlo_0112   NN30nlo_0113   NN30nlo_0114   NN30nlo_0115   NN30nlo_0116   NN30nlo_0117   NN30nlo_0118   NN30nlo_0119   NN30nlo_0120   NN30nlo_0121   NN30nlo_0122   NN30nlo_0123   NN30nlo_0124   NN30nlo_0125   NN30nlo_0126   NN30nlo_0127
     2.543e+03     2.590e+03     2.638e+03     2.686e+03     2.734e+03     2.783e+03     2.833e+03     2.882e+03     2.933e+03     2.983e+03     3.035e+03     3.086e+03     3.138e+03     3.191e+03     3.244e+03     3.297e+03
     1.164e+03     1.185e+03     1.206e+03     1.228e+03     1.249e+03     1.271e+03     1.293e+03     1.315e+03     1.338e+03     1.361e+03     1.383e+03     1.406e+03     1.430e+03     1.453e+03     1.477e+03     1.500e+03
     5.621e+02     5.722e+02     5.823e+02     5.925e+02     6.027e+02     6.131e+02     6.236e+02     6.341e+02     6.447e+02     6.554e+02     6.662e+02     6.771e+02     6.880e+02     6.991e+02     7.102e+02     7.214e+02
     2.841e+02     2.891e+02     2.941e+02     2.992e+02     3.043e+02     3.094e+02     3.146e+02     3.199e+02     3.251e+02     3.304e+02     3.358e+02     3.412e+02     3.466e+02     3.520e+02     3.576e+02     3.631e+02
     1.472e+02     1.497e+02     1.523e+02     1.549e+02     1.575e+02     1.601e+02     1.628e+02     1.654e+02     1.681e+02     1.708e+02     1.735e+02     1.762e+02     1.790e+02     1.818e+02     1.846e+02     1.874e+02
     7.792e+01     7.925e+01     8.059e+01     8.194e+01     8.329e+01     8.466e+01     8.604e+01     8.743e+01     8.882e+01     9.023e+01     9.164e+01     9.307e+01     9.450e+01     9.594e+01     9.740e+01     9.886e+01
     4.208e+01     4.279e+01     4.350e+01     4.422e+01     4.494e+01     4.567e+01     4.640e+01     4.714e+01     4.788e+01     4.863e+01     4.938e+01     5.014e+01     5.090e+01     5.167e+01     5.244e+01     5.321e+01
     2.316e+01     2.355e+01     2.393e+01     2.432e+01     2.472e+01     2.511e+01     2.551e+01     2.591e+01     2.631e+01     2.672e+01     2.713e+01     2.754e+01     2.795e+01     2.837e+01     2.878e+01     2.920e+01
     1.301e+01     1.323e+01     1.344e+01     1.366e+01     1.388e+01     1.410e+01     1.432e+01     1.454e+01     1.476e+01     1.499e+01     1.521e+01     1.544e+01     1.567e+01     1.590e+01     1.613e+01     1.636e+01
     7.321e+00     7.440e+00     7.560e+00     7.680e+00     7.802e+00     7.924e+00     8.046e+00     8.170e+00     8.294e+00     8.418e+00     8.544e+00     8.670e+00     8.797e+00     8.924e+00     9.052e+00     9.181e+00
     4.205e+00     4.272e+00     4.341e+00     4.409e+00     4.478e+00     4.547e+00     4.617e+00     4.687e+00     4.758e+00     4.829e+00     4.900e+00     4.972e+00     5.044e+00     5.116e+00     5.189e+00     5.262e+00
     2.436e+00     2.475e+00     2.514e+00     2.554e+00     2.593e+00     2.633e+00     2.673e+00     2.713e+00     2.754e+00     2.794e+00     2.835e+00     2.876e+00     2.917e+00     2.959e+00     3.000e+00     3.042e+00
     1.413e+00     1.435e+00     1.458e+00     1.480e+00     1.503e+00     1.526e+00     1.549e+00     1.572e+00     1.595e+00     1.618e+00     1.642e+00     1.665e+00     1.689e+00     1.713e+00     1.736e+00     1.760e+00
