    PDF_01    PDF_02    PDF_03    PDF_04    PDF_05    PDF_06    PDF_07    PDF_08    PDF_09    PDF_10    PDF_11    PDF_12    PDF_13    PDF_14    PDF_15    PDF_16    PDF_17    PDF_18    PDF_19    PDF_20
  8.72e+00  2.71e+00  9.28e-01  8.43e-01  1.26e+00  4.81e+00  2.57e+00  1.17e+00  3.87e+00  1.02e+00  1.56e+01  6.16e+00  4.30e+00  3.65e+00  1.74e+01  1.35e+00  2.75e+00  1.92e-01  2.51e+01  4.74e-01
  4.00e+00  9.61e-01  1.83e-01  3.07e-01  3.49e-01  1.32e+00  6.47e-01  5.37e-02  3.84e+00  1.55e-01  8.89e+00  3.81e+00  2.58e+00  1.99e+00  7.51e+00  7.21e-01  1.14e+00  3.83e-01  1.09e+01  3.84e-02
  1.92e+00  3.34e-01  1.54e-02  1.16e-01  7.02e-02  2.56e-01  7.95e-02  1.81e-01  2.79e+00  6.89e-02  5.05e+00  2.28e+00  1.52e+00  1.10e+00  3.41e+00  3.92e-01  5.00e-01  4.07e-01  4.83e+00  1.35e-01
  9.65e-01  1.03e-01  5.99e-02  4.29e-02  1.04e-02  4.71e-02  7.22e-02  1.89e-01  1.85e+00  1.04e-01  2.89e+00  1.35e+00  8.86e-01  6.28e-01  1.62e+00  2.17e-01  2.24e-01  3.14e-01  2.15e+00  1.21e-01
  4.94e-01  1.90e-02  5.94e-02  1.40e-02  2.83e-02  1.10e-01  9.49e-02  1.47e-01  1.17e+00  8.74e-02  1.66e+00  7.89e-01  5.15e-01  3.60e-01  7.83e-01  1.20e-01  9.93e-02  2.16e-01  9.21e-01  8.71e-02
  2.58e-01  8.57e-03  4.64e-02  3.53e-03  2.67e-02  1.02e-01  8.05e-02  1.03e-01  7.24e-01  6.39e-02  9.56e-01  4.63e-01  3.00e-01  2.08e-01  3.86e-01  6.69e-02  4.30e-02  1.43e-01  3.69e-01  5.82e-02
  1.37e-01  1.54e-02  3.27e-02  6.25e-05  2.02e-02  7.74e-02  5.91e-02  6.76e-02  4.43e-01  4.39e-02  5.55e-01  2.73e-01  1.75e-01  1.22e-01  1.93e-01  3.81e-02  1.80e-02  9.24e-02  1.27e-01  3.77e-02
  7.45e-02  1.45e-02  2.21e-02  1.10e-03  1.40e-02  5.40e-02  4.08e-02  4.33e-02  2.70e-01  2.91e-02  3.25e-01  1.61e-01  1.03e-01  7.20e-02  9.82e-02  2.20e-02  7.00e-03  5.89e-02  2.69e-02  2.39e-02
  4.12e-02  1.16e-02  1.48e-02  1.19e-03  9.38e-03  3.64e-02  2.76e-02  2.76e-02  1.64e-01  1.90e-02  1.92e-01  9.59e-02  6.10e-02  4.30e-02  5.10e-02  1.27e-02  2.32e-03  3.74e-02  1.12e-02  1.50e-02
  2.28e-02  8.51e-03  9.64e-03  9.80e-04  6.12e-03  2.37e-02  1.81e-02  1.72e-02  9.88e-02  1.22e-02  1.13e-01  5.67e-02  3.59e-02  2.55e-02  2.66e-02  7.24e-03  4.34e-04  2.35e-02  2.21e-02  9.20e-03
  1.28e-02  6.07e-03  6.33e-03  7.56e-04  3.98e-03  1.54e-02  1.19e-02  1.07e-02  5.99e-02  7.89e-03  6.79e-02  3.39e-02  2.14e-02  1.53e-02  1.41e-02  4.22e-03  2.37e-04  1.48e-02  2.20e-02  5.72e-03
  7.28e-03  4.22e-03  4.14e-03  5.56e-04  2.56e-03  9.91e-03  7.79e-03  6.63e-03  3.63e-02  5.11e-03  4.08e-02  2.03e-02  1.27e-02  9.20e-03  7.55e-03  2.48e-03  4.06e-04  9.29e-03  1.82e-02  3.54e-03
  4.14e-03  2.87e-03  2.68e-03  3.86e-04  1.63e-03  6.30e-03  5.02e-03  4.04e-03  2.18e-02  3.29e-03  2.43e-02  1.21e-02  7.54e-03  5.49e-03  4.02e-03  1.45e-03  3.93e-04  5.75e-03  1.38e-02  2.17e-03
