MSTWnlo_0112  MSTWnlo_0113  MSTWnlo_0114  MSTWnlo_0115  MSTWnlo_0116  MSTWnlo_0117  MSTWnlo_0118  MSTWnlo_0119  MSTWnlo_0120  MSTWnlo_0121  MSTWnlo_0122  MSTWnlo_0123  MSTWnlo_0124  MSTWnlo_0125  MSTWnlo_0126  MSTWnlo_0127
2.512736e+03  2.557985e+03  2.603208e+03  2.647850e+03  2.692803e+03  2.737652e+03  2.782268e+03  2.825851e+03  2.869947e+03  2.913211e+03  2.956782e+03  3.000055e+03  3.043032e+03  3.085342e+03  3.125336e+03  3.166327e+03
1.141187e+03  1.162084e+03  1.182963e+03  1.203631e+03  1.224412e+03  1.245123e+03  1.265708e+03  1.285779e+03  1.306188e+03  1.326143e+03  1.346225e+03  1.366173e+03  1.386007e+03  1.405605e+03  1.424442e+03  1.443523e+03
5.481555e+02  5.583119e+02  5.684804e+02  5.785583e+02  5.886913e+02  5.987758e+02  6.087946e+02  6.185563e+02  6.285193e+02  6.382340e+02  6.480080e+02  6.577146e+02  6.673886e+02  6.769847e+02  6.863631e+02  6.957657e+02
2.760172e+02  2.811683e+02  2.863319e+02  2.914631e+02  2.966195e+02  3.017493e+02  3.068416e+02  3.118001e+02  3.168821e+02  3.218312e+02  3.268031e+02  3.317452e+02  3.366833e+02  3.415985e+02  3.464828e+02  3.513378e+02
1.425823e+02  1.452507e+02  1.479258e+02  1.505957e+02  1.532751e+02  1.559427e+02  1.585861e+02  1.611609e+02  1.638100e+02  1.663902e+02  1.689761e+02  1.715516e+02  1.741317e+02  1.767080e+02  1.793120e+02  1.818789e+02
7.529272e+01  7.670230e+01  7.811656e+01  7.953403e+01  8.095603e+01  8.237234e+01  8.377321e+01  8.513864e+01  8.654978e+01  8.792364e+01  8.929874e+01  9.067100e+01  9.204954e+01  9.343204e+01  9.485474e+01  9.624381e+01
4.061121e+01  4.136854e+01  4.212891e+01  4.289354e+01  4.366194e+01  4.442690e+01  4.518306e+01  4.591908e+01  4.668518e+01  4.742941e+01  4.817459e+01  4.891933e+01  4.966926e+01  5.042639e+01  5.121960e+01  5.198619e+01
2.232612e+01  2.273920e+01  2.315421e+01  2.357284e+01  2.399459e+01  2.441428e+01  2.482918e+01  2.523216e+01  2.565475e+01  2.606421e+01  2.647487e+01  2.688574e+01  2.730079e+01  2.772273e+01  2.817332e+01  2.860322e+01
1.254555e+01  1.277462e+01  1.300510e+01  1.323853e+01  1.347423e+01  1.370875e+01  1.394066e+01  1.416552e+01  1.440297e+01  1.463263e+01  1.486335e+01  1.509466e+01  1.532911e+01  1.556921e+01  1.583124e+01  1.607718e+01
7.067106e+00  7.193673e+00  7.321312e+00  7.451192e+00  7.582586e+00  7.713338e+00  7.842685e+00  7.967971e+00  8.101064e+00  8.229696e+00  8.359090e+00  8.489189e+00  8.621480e+00  8.758117e+00  8.910850e+00  9.051321e+00
